"site_id","name","state","climreg","lon","lat","year","month","date","tmin_c","tmax_c","prec_mm"
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2009,3,"2009-03-01",20.625,32,156.856246948242
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2009,3,"2009-03-01",23.7333335876465,29.9333324432373,374.853332519531
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2009,3,"2009-03-01",21.5,29.5,235.037506103516
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2009,3,"2009-03-01",20,32.9375,103.331253051758
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2009,3,"2009-03-01",18,27,123.537498474121
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2009,3,"2009-03-01",21.125,32.5,132.668746948242
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2009,3,"2009-03-01",17.9375,28.6875,224.268753051758
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2009,4,"2009-04-01",22.0625,30.5,502.71875
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2009,4,"2009-04-01",19,31.375,11.0749998092651
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2009,4,"2009-04-01",23,29.2000007629395,622.8466796875
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2009,4,"2009-04-01",21.5,29.5,374.40625
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2009,4,"2009-04-01",20,31,206.324996948242
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2009,4,"2009-04-01",15.1875,24.4375,107.131248474121
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2009,4,"2009-04-01",19,29.875,97.84375
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2009,4,"2009-04-01",15.4375,26.5,92.6187515258789
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2009,5,"2009-05-01",23,30,391.693756103516
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2009,5,"2009-05-01",16.1875,28.875,95.9875030517578
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2009,5,"2009-05-01",23.0666675567627,28.9333324432373,429.386657714844
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2009,5,"2009-05-01",20.875,30.125,240.668746948242
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2009,5,"2009-05-01",20,29,37.0625
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2009,5,"2009-05-01",13.6875,23,63.4187507629395
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2009,5,"2009-05-01",17,29,21.7250003814697
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2009,5,"2009-05-01",13.75,25.9375,15.8500003814697
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2009,6,"2009-06-01",23,32,249.462493896484
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2009,6,"2009-06-01",12.9375,24.9375,87.3874969482422
